Timestamp,Item,PLU,Weight_kg,Total_Price
2026-02-02 11:26:32,Epal Merah Fuji,4016,0.32,5.76
2026-02-02 11:27:21,Pisang Tanduk,4011,0.57,1.9949999999999999
